name:东材科技 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:16.36% 流通市值:106.72亿,
name:海能实业 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:10.68% 流通市值:25.25亿,
name:海兴电力 日期:2023/10/24 0:00:00 diverTimes:11 涨幅:18.45% 流通市值:127.06亿,
name:智动力 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:15.64% 流通市值:21.48亿,
name:派生科技 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:24.25% 流通市值:27.46亿,
name:美康生物 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:10.43% 流通市值:34.09亿,
name:五洋停车 日期:2023/10/24 0:00:00 diverTimes:10 涨幅:21.23% 流通市值:32.87亿,
name:金达威 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:8.68% 流通市值:109.47亿,
name:迈克生物 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:14.72% 流通市值:79.25亿,
name:海普瑞 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:11.52% 流通市值:157.15亿,
name:凯盛科技 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:30.05% 流通市值:116.14亿,
name:凯利泰 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:9.23% 流通市值:48.87亿,
name:广济药业 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:18.17% 流通市值:28.76亿,
name:康达新材 日期:2023/10/24 0:00:00 diverTimes:9 涨幅:7.11% 流通市值:35.61亿,
name:奥美医疗 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:13.15% 流通市值:46.33亿,
name:依顿电子 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:15.33% 流通市值:82.07亿,
name:湘油泵 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:29.41% 流通市值:39.3亿,
name:英飞特 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:12.13% 流通市值:27.25亿,
name:三利谱 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:26.4% 流通市值:48.87亿,
name:洲明科技 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:6.33% 流通市值:59.94亿,
name:亿嘉和 日期:2023/10/24 0:00:00 diverTimes:10 涨幅:24.83% 流通市值:66.9亿,
name:安宁股份 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:11.95% 流通市值:97.41亿,
name:佳士科技 日期:2023/10/24 0:00:00 diverTimes:12 涨幅:6.74% 流通市值:34.89亿,
name:冠昊生物 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:22.72% 流通市值:39.03亿,
name:浙江医药 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:8.94% 流通市值:109.15亿,
name:利君股份 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:8.57% 流通市值:39.87亿,
name:超声电子 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:12.81% 流通市值:51.87亿,
name:司太立 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:13.41% 流通市值:54.7亿,
name:透景生命 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:8.32% 流通市值:26.19亿,
name:铜峰电子 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:27.71% 流通市值:45.15亿,
name:沃尔核材 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:16.87% 流通市值:92.19亿,
name:健友股份 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:34.33% 流通市值:256.89亿,
name:山河智能 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:12.17% 流通市值:67.39亿,
name:诚意药业 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:5.74% 流通市值:35.91亿,
